"ISO_Alpha_3","I_1","I_2","I_3","I_4","I_5","I_6","I_7","I_8","I_9","I_10","I_11","I_13","I_15","I_16","I_17","I_18","I_19","I_20","I_21","I_22","I_23","I_24","I_25","I_26"
"CIV",NA,0.323262,92.2,1.779402608,1.273361206,10401,87158.07,8000,3.321,42941,62.68883521,22.88,13.3,0,11.76,25,0.345443,0.9547,0.169070943,0.007965167,11492542,0.010249186,4.71083907,NA
"CMR",940945,0.558424667,91.1,1.68927266,1.168764938,18816,46235.03,75000,2.35,24444,73.10416059,10.6,9.9,0,25,79,0.36371,0.9902,0.107844949,0.005639571,13508763,0.002510221,7.037801909,NA
"COD",NA,0.710534,95.5,3.068712618,0.816664469,152578,30067.13,227700,3.756,12561,74.86531981,12.7,NA,0,11.76,53,0.470749,0.9853,0.121359342,0.003632286,85899854,0.004657725,6.196203711,NA
"COG",2625003,0.666078,86.1,10.91347606,1.285698754,22334,2210.57,37320,2.607,291,66.77399142,40.59,30.5,0,44.44,31,0.421233,0.9955,0.16286402,0.003700714,3539990,0.001811862,6.572228909,NA
"COK",NA,0.272484333,NA,NA,NA,15.1,276.14,0,3.412,7,NA,1.55,NA,0,0,NA,7.1643e-05,NA,0.02230113,0.0113225,5000,NA,NA,NA
"COL",144025,0.748455333,88.4,3.596935389,1.873665896,58501.74,66645.45,315073,2.7505,608883,17.95908877,14.16,8.8,0,8.78,58,0.442898,0.9792,0.143266769,0.042248429,12753000,0.001720106,3.870213374,118037.8467
"COM",NA,0.364238667,96.9,0.324344181,1.027658601,37,7258.39,0,4.004,0,NA,10.17,NA,0,0,NA,0.0452657,0.9732,0.122712014,0.102186667,319012,0.003186292,0.98230356,NA
"CPV",NA,0.0213319,98.6,0.621189748,2.521763143,89.903,5218.35,0,4.146,0,NA,2.6,9.4,0,0,99,0.0939878,0.9999,0.043443524,0.126114667,207149,0,0.957383245,NA
"CRI",46677,0.574671,94.2,1.530589372,2.843098991,2756,6829.12,1000,3.685,89729,13.69041521,27.6,2.5,0,4.17,79,0.321152,0.9818,0.168065863,0.108464714,4592876,0.000843231,3.25770289,NA
"CUB",NA,0.369767667,85.7,0.763087701,1.954404163,3200,20521.98,1800,3.352,99687,44.37630739,16.55,2.5,0,28.57,48,0.335164,0.9971,0.134584621,0.047689714,1702000,0.001675376,2.656188339,NA
"CUW",NA,NA,NA,NA,NA,NA,NA,NA,4.33,NA,NA,15.52,NA,NA,0,NA,0.0491134,NA,0.169923637,0.040511833,NA,0.000171634,NA,NA
"CXR",NA,0.294931667,NA,NA,NA,NA,NA,NA,3.896,NA,NA,61.8,NA,NA,0,NA,0.0956724,NA,NA,0.1640625,17,NA,NA,NA
"CYM",NA,0.365352333,99.3,0.315528066,5.649751032,12.7,NA,0,3.565,NA,NA,10.72,NA,NA,20,NA,0.0216416,NA,0.17,0.071167,NA,5.39e-06,NA,NA
"CYP",NA,NA,85.8,0.341112226,4.212652729,172.7,1643.42,20,3.818,7150,22.7174655,18.65,2.5,18,17.65,NA,0.17306,0.9736,0.169236605,0.031343286,8810,0.000227916,3.066522896,1773.01
"CZE",49902,0.331841667,87.3,2.455170511,5.186767413,2667,11142.64,3841,NA,328627,50.10433997,21.69,2.5,64,45,20,0.335422,0.9913,0.17,0.116562222,15476000,0.002612088,10.81198522,10117.18
"DEU",1055073,0.302368,88.3,2.272419706,5.296289194,11419,60114.52,21349,3.758,1822800,72.84392229,37.68,2.5,75,32.9,16,0.282889,0.9907,0.17,0.333059778,54356180,0.001032167,13.36922413,90076.59333
"DJI",NA,NA,82,NA,NA,5.6,37.15,0,2.894,0,NA,1.57,15.9,0,0,1,0,0.9939,0.013107163,0.009726667,378927,NA,3.385154208,NA
"DMA",NA,0.690691333,95.1,1.0344477,2.572836917,43.33,363.65,0,3.761,46,61.6232556,22.06,NA,0,0,5,0.164133,NA,0.16909101,0.129089167,7525,2.62e-05,NA,NA
