"hdi_2018","ISO_Alpha_3","Learning_outcomes_2015","GDP_2019","CPI_2020","Pop_2018"
"0.796","SYC",NA,1698.865195,66,97.096
"0.567","SYR",NA,20379.23255,14,16945.057
"0.398","TCD",NA,11271.66391,21,15477.729
"0.515","TGO",NA,7270.01341,29,7889.093
"0.777","THA",440.25,542016.9892,36,69428.453
"0.668","TJK",NA,8333.110653,25,9100.835
"0.715","TKM",NA,48276.46671,19,5850.901
"0.606","TLS",NA,2017.924924,40,1267.974
"0.725","TON",NA,508.414689,NA,103.197
"0.796","TTO",438.75,23208.52823,40,1389.843
"0.74","TUN",384.12,38797.40893,44,11565.201
"0.82","TUR",470.39,761425.5922,40,82340.088
"0.529","TZA",NA,62942.61444,38,56313.438
"0.544","UGA",NA,32609.11959,27,42729.036
"0.779","UKR",NA,153781.1326,33,44246.156
"0.817","URY",445.45,56045.9527,71,3449.285
"0.926","USA",529.09,21433226,67,327096.265
"0.72","UZB",NA,57921.28567,26,32476.244
"0.738","VCT",NA,825.385185,59,110.211
"0.711","VEN",NA,134960.2885,15,28887.118
"0.704","VNM",520.04,261921.2292,36,95545.962
"0.609","VUT",NA,906.666071,43,292.68
"0.715","WSM",NA,844.656299,NA,196.129
"0.47","YEM",NA,24935.39164,15,28498.683
"0.709","ZAF",374.06,351430.9912,44,57792.518
"0.584","ZMB",NA,23085.06114,33,17351.708
"0.571","ZWE",NA,21440.75884,24,14438.802
NA,"MAC",561.9,53859.31452,NA,631.636
NA,"PRI",396.29,104988.586,NA,3039.596
NA,"TWN",597.75,NA,65,23726.46
NA,"BMU",NA,7361.2,NA,62.756
NA,"ABW",NA,3293.04581,NA,105.845
NA,"CYM",NA,6020.184081,NA,64.174
NA,"COK",NA,379.097592,NA,17.518
NA,"PYF",NA,6023.367689,NA,277.679
NA,"GRL",NA,3023.601252,NA,56.564
NA,"PRK",NA,16331.45231,18,25549.604
NA,"MCO",NA,7423.907159,NA,38.682
NA,"MSR",NA,67.288889,NA,4.993
NA,"NRU",NA,132.846561,NA,10.67
NA,"NCL",NA,9879.709561,NA,279.993
NA,"SMR",NA,1602.030114,NA,33.785
NA,"SOM",NA,1626.302864,12,15008.226
NA,"TCA",NA,1197.42,NA,37.665
NA,"TUV",NA,47.003262,NA,11.508
NA,"VGB",NA,1296.954245,NA,29.802
NA,"AIA",NA,379.58436,NA,14.731
NA,"CUW",NA,3101.787709,NA,162.752
NA,"SXM",NA,1009,NA,41.94
NA,"KSV",NA,NA,36,NA
NA,"ASM",NA,NA,NA,55.465
NA,"FRO",NA,NA,NA,48.497
NA,"FLK",NA,NA,NA,3.234
NA,"GUF",NA,NA,NA,282.938
NA,"GIB",NA,NA,NA,33.718
NA,"GLP",NA,NA,NA,399.848
NA,"GUM",NA,NA,NA,165.768
NA,"VAT",NA,NA,NA,0.801
NA,"MTQ",NA,NA,NA,375.673
NA,"ANT",NA,NA,NA,277.483
