"ISO_Alpha_3","Names1","Names1_log","Names2","Names2_log","hdi_2018","Learning_outcomes_2015","GDP_2019","CPI_2020","Pop_2018"
"ARM",20,2.99573227355399,15,2.70805020110221,"0.776",NA,13672.80134,49,2951.745
"GUM",20,2.99573227355399,37,3.61091791264422,NA,NA,NA,NA,165.768
"ARE",19,2.94443897916644,7,1.94591014905531,"0.89",460.49,421142.2679,71,9630.959
"DMA",19,2.94443897916644,16,2.77258872223978,"0.742",NA,582.4,55,71.625
"GIB",19,2.94443897916644,4,1.38629436111989,NA,NA,NA,NA,33.718
"MNE",19,2.94443897916644,39,3.66356164612965,"0.829",441.38,5542.201626,45,627.809
"GNQ",18,2.89037175789616,7,1.94591014905531,"0.592",NA,11024.71831,16,1308.975
"KWT",18,2.89037175789616,26,3.25809653802148,"0.806",372.3,134623.5928,42,4137.312
"LBR",18,2.89037175789616,10,2.30258509299405,"0.48",NA,2582.242493,28,4818.973
"BRB",17,2.83321334405622,21,3.04452243772342,"0.814",NA,5209.204817,64,286.641
"MLT",17,2.83321334405622,35,3.55534806148941,"0.895",498,14863.59891,53,439.248
"YEM",17,2.83321334405622,17,2.83321334405622,"0.47",NA,24935.39164,15,28498.683
"BIH",16,2.77258872223978,7,1.94591014905531,"0.78",NA,20164.35007,35,3323.925
"BMU",16,2.77258872223978,9,2.19722457733622,NA,NA,7361.2,NA,62.756
"CAF",16,2.77258872223978,6,1.79175946922805,"0.397",NA,2220.306447,26,4666.368
"KGZ",16,2.77258872223978,19,2.94443897916644,"0.697",NA,8454.619608,31,6304.03
"MDV",16,2.77258872223978,7,1.94591014905531,"0.74",NA,5642.163793,43,515.696
"QAT",16,2.77258872223978,33,3.49650756146648,"0.848",438.9,183466.2088,63,2781.682
"MRT",15,2.70805020110221,13,2.56494935746154,"0.546",NA,7593.745551,29,4403.313
"SLV",15,2.70805020110221,11,2.39789527279837,"0.673",NA,27022.64,36,6420.746
"LUX",14,2.63905732961526,72,4.27666611901606,"0.916",508.88,71104.91911,80,604.245
"VUT",14,2.63905732961526,10,2.30258509299405,"0.609",NA,906.666071,43,292.68
"GLP",13,2.56494935746154,27,3.29583686600433,NA,NA,NA,NA,399.848
"PLW",13,2.56494935746154,18,2.89037175789616,"0.826",NA,280.429406,NA,17.907
"TJK",13,2.56494935746154,4,1.38629436111989,"0.668",NA,8333.110653,25,9100.835
"ASM",12,2.484906649788,2,0.693147180559945,NA,NA,NA,NA,55.465
"BDI",12,2.484906649788,9,2.19722457733622,"0.433",NA,3002.350447,19,11175.374
"BLR",12,2.484906649788,14,2.63905732961526,"0.823",NA,63080.96058,47,9452.617
"MYT",12,2.484906649788,11,2.39789527279837,NA,NA,NA,NA,259.531
"AZE",11,2.39789527279837,8,2.07944154167984,"0.756",NA,48047.64706,30,9949.537
"COM",10,2.30258509299405,7,1.94591014905531,"0.554",NA,1165.840745,21,832.322
"SOM",10,2.30258509299405,2,0.693147180559945,NA,NA,1626.302864,12,15008.226
"DOM",9,2.19722457733622,2,0.693147180559945,"0.756",337.71,88941.37198,28,10627.141
"HTI",9,2.19722457733622,5,1.6094379124341,"0.51",NA,8051.188114,18,11123.178
"LAO",9,2.19722457733622,2,0.693147180559945,"0.613",NA,18822.59475,29,7061.507
"LSO",9,2.19722457733622,5,1.6094379124341,"0.527",NA,2460.074277,41,2108.328
"MTQ",9,2.19722457733622,17,2.83321334405622,NA,NA,NA,NA,375.673
"PCN",9,2.19722457733622,4,1.38629436111989,NA,NA,NA,NA,NA
"COK",8,2.07944154167984,3,1.09861228866811,NA,NA,379.097592,NA,17.518
"PRK",8,2.07944154167984,1,0,NA,NA,16331.45231,18,25549.604
"STP",8,2.07944154167984,3,1.09861228866811,"0.625",NA,421.777679,47,211.028
"UZB",8,2.07944154167984,8,2.07944154167984,"0.72",NA,57921.28567,26,32476.244
"AND",7,1.94591014905531,18,2.89037175789616,"0.868",NA,3154.137481,NA,77.006
"CXR",7,1.94591014905531,4,1.38629436111989,NA,NA,NA,NA,NA
"ERI",7,1.94591014905531,5,1.6094379124341,"0.459",NA,1981.857048,21,3452.786
"BHR",6,1.79175946922805,5,1.6094379124341,"0.852",452.36,38574.06915,42,1569.446
"BRN",6,1.79175946922805,33,3.49650756146648,"0.838",NA,13469.24015,60,428.963
"IMN",6,1.79175946922805,3,1.09861228866811,NA,NA,NA,NA,84.077
