"ISO_Alpha_3","Names1","Names2","Names1_percent","Names2_percent"
"LVA",31,63,0.000660797646707736,0.000582809883715552
"MAC",5,40,0.000106580265598022,0.0003700380214067
"MAF",NA,NA,NA,NA
"MAR",82,95,0.00174791635580756,0.000878840300840911
"MCO",1,42,2.13160531196044e-05,0.000388539922477035
"MDA",NA,NA,NA,NA
"MDG",267,165,0.00569138618293437,0.00152640683830264
"MDV",16,7,0.00034105684991367,6.47566537461724e-05
"MEX",1248,1644,0.0266024342932663,0.0152085626798154
"MHL",4,NA,8.52642124784175e-05,NA
"MKD",NA,NA,NA,NA
"MLI",1234,402,0.0263040095495918,0.00371888211513733
"MLT",17,35,0.000362372903033274,0.000323783268730862
"MMR",71,58,0.00151343977149191,0.000536555131039714
"MNE",19,39,0.000405005009272483,0.000360787070871532
"MNG",302,180,0.00643744804212052,0.00166517109633015
"MNP",2,2,4.26321062392087e-05,1.8501901070335e-05
"MOZ",91,56,0.001939760833884,0.000518053229969379
"MRT",15,13,0.000319740796794066,0.000120262356957177
"MSR",3,68,6.39481593588131e-05,0.000629064636391389
"MTQ",9,17,0.000191844478076439,0.000157266159097847
"MUS",26,36,0.000554217381109714,0.00033303421926603
"MWI",103,84,0.00219555347131925,0.000777079844954069
"MYS",357,576,0.00760983096369876,0.00532854750825647
"MYT",12,11,0.000255792637435252,0.000101760455886842
"NAM",65,64,0.00138554345277428,0.000592060834250719
"NCL",76,105,0.00162002003708993,0.000971349806192586
"NER",259,242,0.00552085775797753,0.00223873002951053
"NFK",NA,NA,NA,NA
"NGA",177,203,0.00377294140216997,0.001877942958639
"NIC",51,37,0.00108711870909982,0.000342285169801197
"NIU",4,NA,8.52642124784175e-05,NA
"NLD",319,2605,0.0067998209451538,0.0240987261441113
"NOR",578,1154,0.0123206787031313,0.0106755969175833
"NPL",338,262,0.00720482595442628,0.00242374904021388
"NRU",1,1,2.13160531196044e-05,9.25095053516749e-06
"NZL",629,1083,0.0134077974122312,0.0100187794295864
"OMN",540,872,0.0115106686845864,0.00806682886666605
"PAK",290,379,0.00618165540468527,0.00350611025282848
"PAN",170,296,0.00362372903033274,0.00273828135840958
"PCN",9,4,0.000191844478076439,3.700380214067e-05
"PER",416,385,0.00886747809775542,0.00356161595603948
"PHL",296,311,0.00630955172340289,0.00287704561643709
"PLW",13,18,0.000277108690554857,0.000166517109633015
"PNG",74,38,0.00157738793085072,0.000351536120336365
"POL",519,1187,0.0110630315690747,0.0109808782852438
"PRI",104,119,0.00221686952443885,0.00110086311368493
"PRK",8,1,0.000170528424956835,9.25095053516749e-06
"PRT",369,1290,0.00786562360113401,0.0119337261903661
"PRY",58,19,0.00123633108093705,0.000175768060168182
"PSE",NA,NA,NA,NA
"PYF",42,14,0.000895274231023384,0.000129513307492345
"QAT",16,33,0.00034105684991367,0.000305281367660527
"REU",NA,NA,NA,NA
"ROU",184,297,0.0039221537740072,0.00274753230894474
"RUS",200,542,0.00426321062392087,0.00501401519006078
"RWA",44,35,0.000937906337262592,0.000323783268730862
"SAU",49,172,0.00104448660286061,0.00159116349204881
"SDN",91,48,0.001939760833884,0.000444045625688039
"SEN",100,65,0.00213160531196044,0.000601311784785887
"SGP",100,358,0.00213160531196044,0.00331184029158996
"SGS",NA,2,NA,1.8501901070335e-05
"SHN",NA,NA,NA,NA
"SJM",1,NA,2.13160531196044e-05,NA
"SLB",36,31,0.000767377912305757,0.000286779466590192
"SLE",26,18,0.000554217381109714,0.000166517109633015
"SLV",15,11,0.000319740796794066,0.000101760455886842
"SMR",NA,5,NA,4.62547526758374e-05
"SOM",10,2,0.000213160531196044,1.8501901070335e-05
"SPM",NA,NA,NA,NA
"SRB",82,170,0.00174791635580756,0.00157266159097847
"SSD",NA,NA,NA,NA
"STP",8,3,0.000170528424956835,2.77528516055025e-05
"SUR",27,13,0.000575533434229318,0.000120262356957177
"SVK",104,226,0.00221686952443885,0.00209071482094785
"SVN",84,210,0.00179054846204677,0.00194269961238517
"SWE",591,2122,0.0125977873936862,0.0196305170356254
"SWZ",27,30,0.000575533434229318,0.000277528516055025
"SXM",NA,NA,NA,NA
"SYC",31,23,0.000660797646707736,0.000212771862308852
