"ISO_Alpha_3","Names1","Names2","Names1_percent","Names2_percent"
"JEY",64,37,0.00368812309110817,0.00119505183941087
"COL",62,62,0.00357286924451104,0.00200251929847227
"ZWE",62,45,0.00357286924451104,0.00145344142631052
"CZE",61,189,0.00351524232121247,0.00610445399050418
"VNM",61,43,0.00351524232121247,0.00138884402958561
"HUN",58,104,0.00334236155131678,0.00335906462969542
"BGD",55,40,0.00316948078142108,0.00129194793449824
"HKG",54,88,0.00311185385812251,0.00284228545589613
"LKA",50,38,0.00288134616492825,0.00122735053777333
"COG",48,10,0.00276609231833112,0.00032298698362456
"PNG",48,5,0.00276609231833112,0.00016149349181228
"VEN",48,37,0.00276609231833112,0.00119505183941087
"EGY",46,29,0.00265083847173399,0.000936662252511224
"EST",42,73,0.00242033077853973,0.00235780498045929
"MWI",42,18,0.00242033077853973,0.000581376570524208
"MNG",41,18,0.00236270385524117,0.000581376570524208
"GUF",40,7,0.0023050769319426,0.000226090888537192
"IRN",40,74,0.0023050769319426,0.00239010367882174
"GHA",39,31,0.00224745000864404,0.00100125964923614
"NAM",38,29,0.00218982308534547,0.000936662252511224
"NIC",37,13,0.00213219616204691,0.000419883078711928
"SEN",36,13,0.00207456923874834,0.000419883078711928
"NCL",32,19,0.00184406154555408,0.000613675268886664
"BFA",31,20,0.00178643462225552,0.00064597396724912
"BLZ",30,4,0.00172880769895695,0.000129194793449824
"GRL",30,9,0.00172880769895695,0.000290688285262104
"MAR",29,20,0.00167118077565839,0.00064597396724912
"SDN",29,11,0.00167118077565839,0.000355285681987016
"SVK",28,45,0.00161355385235982,0.00145344142631052
"SGP",27,62,0.00155592692906126,0.00200251929847227
"PAK",26,27,0.00149830000576269,0.000872064855786312
"BEN",25,23,0.00144067308246413,0.000742870062336488
"ROU",25,37,0.00144067308246413,0.00119505183941087
"ZMB",25,10,0.00144067308246413,0.00032298698362456
"GUY",24,4,0.00138304615916556,0.000129194793449824
"GAB",23,3,0.001325419235867,9.6896095087368e-05
"MOZ",23,9,0.001325419235867,0.000290688285262104
"BWA",22,15,0.00126779231256843,0.00048448047543684
"JAM",22,6,0.00126779231256843,0.000193792190174736
"JOR",22,43,0.00126779231256843,0.00138884402958561
"AIA",21,1,0.00121016538926987,3.2298698362456e-05
"SVN",21,35,0.00121016538926987,0.00113045444268596
"PRY",20,7,0.0011525384659713,0.000226090888537192
"ISL",19,13,0.00109491154267274,0.000419883078711928
"KHM",19,13,0.00109491154267274,0.000419883078711928
"GIB",18,NA,0.00103728461937417,NA
"LBN",18,15,0.00103728461937417,0.00048448047543684
"PYF",18,2,0.00103728461937417,6.4597396724912e-05
"SYC",18,7,0.00103728461937417,0.000226090888537192
"TON",18,4,0.00103728461937417,0.000129194793449824
"TUN",18,19,0.00103728461937417,0.000613675268886664
"HRV",17,27,0.000979657696075607,0.000872064855786312
"LTU",17,21,0.000979657696075607,0.000678272665611576
"URY",17,15,0.000979657696075607,0.00048448047543684
"FJI",16,11,0.000922030772777041,0.000355285681987016
"GTM",16,1,0.000922030772777041,3.2298698362456e-05
"TCD",16,18,0.000922030772777041,0.000581376570524208
"BGR",15,19,0.000864403849478476,0.000613675268886664
"HND",14,3,0.000806776926179911,9.6896095087368e-05
"KOR",13,81,0.000749150002881346,0.00261619456735894
"SWZ",13,6,0.000749150002881346,0.000193792190174736
"AGO",12,NA,0.000691523079582781,NA
"BHS",11,5,0.000633896156284216,0.00016149349181228
"DMA",11,4,0.000633896156284216,0.000129194793449824
"DZA",11,7,0.000633896156284216,0.000226090888537192
"LSO",11,3,0.000633896156284216,9.6896095087368e-05
"RWA",11,3,0.000633896156284216,9.6896095087368e-05
"SAU",11,8,0.000633896156284216,0.000258389586899648
"BMU",10,2,0.000576269232985651,6.4597396724912e-05
"BTN",10,7,0.000576269232985651,0.000226090888537192
"GMB",10,4,0.000576269232985651,0.000129194793449824
"TGO",10,3,0.000576269232985651,9.6896095087368e-05
"WSM",10,5,0.000576269232985651,0.00016149349181228
"BRB",9,1,0.000518642309687086,3.2298698362456e-05
"LVA",9,8,0.000518642309687086,0.000258389586899648
"MMR",9,3,0.000518642309687086,9.6896095087368e-05
"MUS",9,3,0.000518642309687086,9.6896095087368e-05
"CYP",8,4,0.000461015386388521,0.000129194793449824
"GNQ",8,1,0.000461015386388521,3.2298698362456e-05
"KWT",8,4,0.000461015386388521,0.000129194793449824
"SLB",8,3,0.000461015386388521,9.6896095087368e-05
"SUR",8,3,0.000461015386388521,9.6896095087368e-05
"ASM",7,2,0.000403388463089956,6.4597396724912e-05
"UKR",7,17,0.000403388463089956,0.000549077872161752
"CAF",6,NA,0.000345761539791391,NA
"CXR",6,NA,0.000345761539791391,NA
"GUM",6,6,0.000345761539791391,0.000193792190174736
"HTI",6,2,0.000345761539791391,6.4597396724912e-05
"PLW",6,2,0.000345761539791391,6.4597396724912e-05
"VUT",6,1,0.000345761539791391,3.2298698362456e-05
"YEM",6,3,0.000345761539791391,9.6896095087368e-05
"AFG",5,1,0.000288134616492825,3.2298698362456e-05
"DOM",5,NA,0.000288134616492825,NA
"IRQ",5,1,0.000288134616492825,3.2298698362456e-05
"LBR",5,1,0.000288134616492825,3.2298698362456e-05
"LUX",5,6,0.000288134616492825,0.000193792190174736
"MRT",5,NA,0.000288134616492825,NA
"MTQ",5,5,0.000288134616492825,0.00016149349181228
"PCN",5,1,0.000288134616492825,3.2298698362456e-05
"SLV",5,1,0.000288134616492825,3.2298698362456e-05
"ARE",4,2,0.00023050769319426,6.4597396724912e-05
"ERI",4,2,0.00023050769319426,6.4597396724912e-05
"FRO",4,3,0.00023050769319426,9.6896095087368e-05
"IMN",4,NA,0.00023050769319426,NA
"KAZ",4,NA,0.00023050769319426,NA
"MLT",4,4,0.00023050769319426,0.000129194793449824
"SLE",4,NA,0.00023050769319426,NA
"BDI",3,2,0.000172880769895695,6.4597396724912e-05
"BHR",3,4,0.000172880769895695,0.000129194793449824
"BLR",3,3,0.000172880769895695,9.6896095087368e-05
"COK",3,1,0.000172880769895695,3.2298698362456e-05
"CPV",3,NA,0.000172880769895695,NA
"CYM",3,1,0.000172880769895695,3.2298698362456e-05
"GRD",3,1,0.000172880769895695,3.2298698362456e-05
"KIR",3,NA,0.000172880769895695,NA
"MDV",3,NA,0.000172880769895695,NA
"PRK",3,NA,0.000172880769895695,NA
"SOM",3,NA,0.000172880769895695,NA
"SRB",3,3,0.000172880769895695,9.6896095087368e-05
"TCA",3,NA,0.000172880769895695,NA
"TTO",3,NA,0.000172880769895695,NA
"ALB",2,2,0.00011525384659713,6.4597396724912e-05
"AZE",2,2,0.00011525384659713,6.4597396724912e-05
"BIH",2,NA,0.00011525384659713,NA
"BRN",2,9,0.00011525384659713,0.000290688285262104
"BVT",2,NA,0.00011525384659713,NA
"GGY",2,1,0.00011525384659713,3.2298698362456e-05
"GLP",2,3,0.00011525384659713,9.6896095087368e-05
"KGZ",2,1,0.00011525384659713,3.2298698362456e-05
"LAO",2,NA,0.00011525384659713,NA
"MAC",2,2,0.00011525384659713,6.4597396724912e-05
"MNE",2,NA,0.00011525384659713,NA
"NRU",2,NA,0.00011525384659713,NA
"QAT",2,1,0.00011525384659713,3.2298698362456e-05
"ABW",1,NA,5.76269232985651e-05,NA
"AND",1,NA,5.76269232985651e-05,NA
"ARM",1,2,5.76269232985651e-05,6.4597396724912e-05
"LIE",1,1,5.76269232985651e-05,3.2298698362456e-05
"MHL",1,NA,5.76269232985651e-05,NA
"NIU",1,1,5.76269232985651e-05,3.2298698362456e-05
"TJK",1,1,5.76269232985651e-05,3.2298698362456e-05
"TKM",1,1,5.76269232985651e-05,3.2298698362456e-05
"UZB",1,2,5.76269232985651e-05,6.4597396724912e-05
"MSR",NA,9,NA,0.000290688285262104
"MCO",NA,6,NA,0.000193792190174736
"STP",NA,1,NA,3.2298698362456e-05
