"ISO_Alpha_3","Names1","Names1_log","Names2","Names2_log","hdi_2018","Learning_outcomes_2015","GDP_2019","CPI_2020","Pop_2018"
"ZMB",85,4.44265125649032,78,4.35670882668959,"0.584",NA,23085.06114,33,17351.708
"BLZ",84,4.43081679884331,37,3.61091791264422,"0.716",NA,1879.616778,NA,383.071
"JOR",83,4.4188406077966,439,6.08449941307517,"0.729",387.01,44502.8169,49,9965.318
"BWA",81,4.39444915467244,89,4.48863636973214,"0.735",398.47,18340.57337,60,2254.068
"MMR",80,4.38202663467388,61,4.11087386417331,"0.583",NA,76784.53394,28,53708.32
"PRY",78,4.35670882668959,26,3.25809653802148,"0.728",366.83,38086.70771,28,6956.066
"GAB",75,4.31748811353631,53,3.97029191355212,"0.703",NA,16887.88874,30,2119.275
"DZA",73,4.29045944114839,71,4.26267987704132,"0.748",375.14,171157.8631,36,42228.408
"LTU",72,4.27666611901606,154,5.03695260241363,"0.882",523.24,54627.41186,60,2801.264
"ISL",67,4.20469261939097,115,4.74493212836325,"0.949",511.8,24188.03572,75,336.713
"AIA",65,4.17438726989564,13,2.56494935746154,NA,NA,379.58436,NA,14.731
"GTM",62,4.12713438504509,34,3.52636052461616,"0.663",389.02,76710.40253,25,17247.849
"UKR",62,4.12713438504509,110,4.70048036579242,"0.779",NA,153781.1326,33,44246.156
"PYF",60,4.0943445622221,16,2.77258872223978,NA,NA,6023.367689,NA,277.679
"SAU",60,4.0943445622221,183,5.20948615284142,"0.854",375.6,792966.9567,53,33702.756
"RWA",55,4.00733318523247,38,3.63758615972639,"0.543",NA,10355.25071,54,12301.97
"BTN",53,3.97029191355212,50,3.91202300542815,"0.654",NA,2564.460096,68,754.388
"GMB",50,3.91202300542815,12,2.484906649788,"0.496",NA,1822.863404,37,2280.094
"JAM",50,3.91202300542815,40,3.68887945411394,"0.734",NA,15830.76637,44,2934.847
"HND",49,3.89182029811063,25,3.2188758248682,"0.634",NA,25095.35563,24,9587.522
"SYC",49,3.89182029811063,31,3.43398720448515,"0.796",NA,1698.865195,66,97.096
"GUY",48,3.87120101090789,29,3.36729582998647,"0.682",NA,5173.760192,41,779.006
"TGO",47,3.85014760171006,28,3.3322045101752,"0.515",NA,7270.01341,29,7889.093
"CYP",46,3.8286413964891,68,4.21950770517611,"0.887",518,24565.30085,57,1189.265
"LBN",46,3.8286413964891,65,4.17438726989564,"0.744",454.42,53367.04227,25,6859.408
"BHS",45,3.80666248977032,29,3.36729582998647,"0.814",NA,13578.8,63,385.637
"SLB",45,3.80666248977032,34,3.52636052461616,"0.567",NA,1302.683941,42,652.857
"AGO",42,3.73766961828337,20,2.99573227355399,"0.581",NA,85000.61246,27,30809.787
"TON",42,3.73766961828337,40,3.68887945411394,"0.725",NA,508.414689,NA,103.197
"LVA",41,3.71357206670431,72,4.27666611901606,"0.866",508.22,34102.91358,57,1928.459
"SWZ",40,3.68887945411394,36,3.58351893845611,"0.611",NA,4594.332076,33,1136.281
"ALB",39,3.66356164612965,25,3.2188758248682,"0.795",436.73,15278.07276,36,2882.74
"IRQ",39,3.66356164612965,21,3.04452243772342,"0.674",NA,225232.3736,21,38433.6
"TCD",38,3.63758615972639,397,5.98393628068719,"0.398",NA,11271.66391,21,15477.729
"AFG",37,3.61091791264422,21,3.04452243772342,"0.511",NA,17876.54643,19,37171.921
"GIB",37,3.61091791264422,4,1.38629436111989,NA,NA,NA,NA,33.718
"MUS",35,3.55534806148941,40,3.68887945411394,"0.804",NA,14180.4379,53,1267.185
"SUR",35,3.55534806148941,16,2.77258872223978,"0.738",NA,3697.313623,38,575.99
"WSM",35,3.55534806148941,25,3.2188758248682,"0.715",NA,844.656299,NA,196.129
"DMA",32,3.46573590279973,21,3.04452243772342,"0.742",NA,582.4,55,71.625
"SLE",30,3.40119738166216,18,2.89037175789616,"0.452",NA,4121.733685,33,7650.15
"KAZ",29,3.36729582998647,27,3.29583686600433,"0.825",536.11,181667.185,38,18319.618
"CPV",27,3.29583686600433,14,2.63905732961526,"0.665",NA,1981.846171,58,543.767
"BMU",26,3.25809653802148,11,2.39789527279837,NA,NA,7361.2,NA,62.756
"BRB",26,3.25809653802148,22,3.09104245335832,"0.814",NA,5209.204817,64,286.641
"GNQ",26,3.25809653802148,9,2.19722457733622,"0.592",NA,11024.71831,16,1308.975
"GUM",26,3.25809653802148,43,3.76120011569356,NA,NA,NA,NA,165.768
"KWT",26,3.25809653802148,30,3.40119738166216,"0.806",372.3,134623.5928,42,4137.312
"ARE",23,3.13549421592915,9,2.19722457733622,"0.89",460.49,421142.2679,71,9630.959
"LBR",23,3.13549421592915,11,2.39789527279837,"0.48",NA,2582.242493,28,4818.973
"YEM",23,3.13549421592915,21,3.04452243772342,"0.47",NA,24935.39164,15,28498.683
"CAF",22,3.09104245335832,6,1.79175946922805,"0.397",NA,2220.306447,26,4666.368
"MLT",22,3.09104245335832,39,3.66356164612965,"0.895",498,14863.59891,53,439.248
"ARM",21,3.04452243772342,17,2.83321334405622,"0.776",NA,13672.80134,49,2951.745
"MNE",21,3.04452243772342,39,3.66356164612965,"0.829",441.38,5542.201626,45,627.809
"LSO",20,2.99573227355399,8,2.07944154167984,"0.527",NA,2460.074277,41,2108.328
"MRT",20,2.99573227355399,13,2.56494935746154,"0.546",NA,7593.745551,29,4403.313
"SLV",20,2.99573227355399,12,2.484906649788,"0.673",NA,27022.64,36,6420.746
"VUT",20,2.99573227355399,11,2.39789527279837,"0.609",NA,906.666071,43,292.68
"ASM",19,2.94443897916644,4,1.38629436111989,NA,NA,NA,NA,55.465
"LUX",19,2.94443897916644,79,4.36944785246702,"0.916",508.88,71104.91911,80,604.245
"MDV",19,2.94443897916644,7,1.94591014905531,"0.74",NA,5642.163793,43,515.696
"PLW",19,2.94443897916644,20,2.99573227355399,"0.826",NA,280.429406,NA,17.907
"BIH",18,2.89037175789616,7,1.94591014905531,"0.78",NA,20164.35007,35,3323.925
"KGZ",18,2.89037175789616,20,2.99573227355399,"0.697",NA,8454.619608,31,6304.03
"QAT",18,2.89037175789616,34,3.52636052461616,"0.848",438.9,183466.2088,63,2781.682
"DOM",16,2.77258872223978,3,1.09861228866811,"0.756",337.71,88941.37198,28,10627.141
"HTI",16,2.77258872223978,8,2.07944154167984,"0.51",NA,8051.188114,18,11123.178
"BDI",15,2.70805020110221,11,2.39789527279837,"0.433",NA,3002.350447,19,11175.374
"BLR",15,2.70805020110221,17,2.83321334405622,"0.823",NA,63080.96058,47,9452.617
"GLP",15,2.70805020110221,30,3.40119738166216,NA,NA,NA,NA,399.848
"TJK",15,2.70805020110221,6,1.79175946922805,"0.668",NA,8333.110653,25,9100.835
"CXR",14,2.63905732961526,4,1.38629436111989,NA,NA,NA,NA,NA
"MTQ",14,2.63905732961526,22,3.09104245335832,NA,NA,NA,NA,375.673
"PCN",14,2.63905732961526,5,1.6094379124341,NA,NA,NA,NA,NA
"AZE",13,2.56494935746154,11,2.39789527279837,"0.756",NA,48047.64706,30,9949.537
"SOM",13,2.56494935746154,2,0.693147180559945,NA,NA,1626.302864,12,15008.226
"ERI",12,2.484906649788,7,1.94591014905531,"0.459",NA,1981.857048,21,3452.786
"LAO",12,2.484906649788,2,0.693147180559945,"0.613",NA,18822.59475,29,7061.507
"MYT",12,2.484906649788,12,2.484906649788,NA,NA,NA,NA,259.531
"COK",11,2.39789527279837,4,1.38629436111989,NA,NA,379.097592,NA,17.518
"PRK",11,2.39789527279837,1,0,NA,NA,16331.45231,18,25549.604
"COM",10,2.30258509299405,8,2.07944154167984,"0.554",NA,1165.840745,21,832.322
"IMN",10,2.30258509299405,3,1.09861228866811,NA,NA,NA,NA,84.077
"BHR",9,2.19722457733622,9,2.19722457733622,"0.852",452.36,38574.06915,42,1569.446
"FRO",9,2.19722457733622,8,2.07944154167984,NA,NA,NA,NA,48.497
"KIR",9,2.19722457733622,4,1.38629436111989,"0.63",NA,194.866652,NA,115.847
"TTO",9,2.19722457733622,4,1.38629436111989,"0.796",438.75,23208.52823,40,1389.843
"UZB",9,2.19722457733622,10,2.30258509299405,"0.72",NA,57921.28567,26,32476.244
"AND",8,2.07944154167984,18,2.89037175789616,"0.868",NA,3154.137481,NA,77.006
"BRN",8,2.07944154167984,43,3.76120011569356,"0.838",NA,13469.24015,60,428.963
"STP",8,2.07944154167984,5,1.6094379124341,"0.625",NA,421.777679,47,211.028
"GRD",7,1.94591014905531,9,2.19722457733622,"0.779",NA,1211.618519,53,111.454
"MAC",7,1.94591014905531,42,3.73766961828337,NA,561.9,53859.31452,NA,631.636
"MHL",6,1.79175946922805,NA,NA,"0.704",NA,237.408066,NA,58.413
"TCA",6,1.79175946922805,NA,NA,NA,NA,1197.42,NA,37.665
